search_term,name,url,price,provider_id,photo,details,brand
pava eléctrica,Jarra eléctrica Bluesky 1.7 lts. 2200W BWK8366-18L blanca,https://www.carrefour.com.ar/jarra-electrica-bluesky-17-lts-2200w-bwk8366-18l-blanca/p,20000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/161401-170-170?v=637467657540000000&width=170&height=170&aspect=true,,
pava eléctrica,Jarra eléctrica Bluesky 1.7 Lts. BWK2200MA-20L blanca,https://www.carrefour.com.ar/jarra-electrica-bluesky-17-lts-bwk2200ma-20l-blanca/p,27000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/161417-170-170?v=637467657591000000&width=170&height=170&aspect=true,,
pava eléctrica,Jarra eléctrica Liliana AP175B 1.7lts blanca,https://www.carrefour.com.ar/jarra-electrica-liliana-ap175b-1-7lts-blanca-7lts_698035/p,50000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/240780-170-170?v=637853989816930000&width=170&height=170&aspect=true,,
pava eléctrica,Pava Eléctrica Electrolux Selector de Temperatura EKA21,https://www.carrefour.com.ar/pava-electrica-electrolux-selector-de-temperatura-eka21-1643106/p,59399,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/274376-170-170?v=638115655301730000&width=170&height=170&aspect=true,,
pava eléctrica,Pava Eléctrica Electrolux Efficient EKA20,https://www.carrefour.com.ar/pava-electrica-electrolux-efficient-eka20-1643107/p,59399,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/274393-170-170?v=638115655305300000&width=170&height=170&aspect=true,,
pava eléctrica,Jarra eléctrica Midea digital inox,https://www.carrefour.com.ar/jarra-electrica-midea-dig-inox-mod-ek-dc17xar1/p,20000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/199065-170-170?v=637535958165970000&width=170&height=170&aspect=true,,
pava eléctrica,Jarra electrica Moulinex roja by297f58,https://www.carrefour.com.ar/jarra-electrica-moulinex-roja-by297f58/p,62590,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/370933-170-170?v=638297994502470000&width=170&height=170&aspect=true,,
pava eléctrica,Jarra electrica Smart life mod slek1714wpn blanca,https://www.carrefour.com.ar/jarra-electrica-smart-life-mod-slek1714wpn-blanca722468/p,53000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/372485-170-170?v=638303133854900000&width=170&height=170&aspect=true,,
pava eléctrica,Jarra electrica Smart life mod slek1714bpn negra,https://www.carrefour.com.ar/jarra-electrica-smart-life-mod-slek1714bpn-negra722467/p,53000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/372480-170-170?v=638303133812400000&width=170&height=170&aspect=true,,
pava eléctrica,Pava Eléctrica Yelmo Pe-3909 Desayuno Celeste 220v 1.7l,https://www.carrefour.com.ar/pava-electrica-yelmo-pe-3909-desayuno-celeste-220v-1-7l--1656184/p,73086,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/489310-170-170?v=638451603201300000&width=170&height=170&aspect=true,,
pava eléctrica,Jarra eléctrica Peabody 1.7 lts PE-KV8213I marfil,https://www.carrefour.com.ar/jarra-electrica-peabody-1-7-lts-pe-kv8213i-marfil/p,20000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/208354-170-170?v=637635159118430000&width=170&height=170&aspect=true,,
pava eléctrica,Jarra eléctrica Peabody vintage PE-KV8215R roja,https://www.carrefour.com.ar/jarra-electrica-peabody-vintage-pe-kv8215r-roja/p,99999,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/161550-170-170?v=637467658168500000&width=170&height=170&aspect=true,,
pava eléctrica,"Pava Eléctrica ATMA PE0821AP Essential 1,7 Litros Blanca",https://www.carrefour.com.ar/pava-electrica-atma-pe0821ap-essential-17-litros-blanca-1659009/p,31439,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/539238-170-170?v=638557168818670000&width=170&height=170&aspect=true,,
pava eléctrica,Jarra electrica Moulinex by297158 blanca,https://www.carrefour.com.ar/jarra-electrica-moulinex-by297158-blanca/p,62590,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/370513-170-170?v=638296069071270000&width=170&height=170&aspect=true,,
pava eléctrica,Jarra electrica Liliana ap970 selector de temp dig,https://www.carrefour.com.ar/jarra-electrica-liliana-ap970-selector-de-temp-dig/p,105000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/546944-170-170?v=638586476608770000&width=170&height=170&aspect=true,,
