search_term,name,url,price,provider_id,photo,details,brand
smart tv,Smart tv android 50 Philips 4k 50pud7408 77,https://www.carrefour.com.ar/smart-tv-android-50-philips-4k-50pud7408-77/p,693000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/424308-170-170?v=638379155750800000&width=170&height=170&aspect=true,,
smart tv,"Tv Led BGH 43"" FHD Smart android B4322FS5A negro",https://www.carrefour.com.ar/tv-led-bgh-43-fhd-smart-android-b4322fs5a-negro/p,480000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/258606-170-170?v=638018115898530000&width=170&height=170&aspect=true,,
smart tv,Smart TV LG 43 '' 4K 43 UR8750,https://www.carrefour.com.ar/smart-tv-43-lg-4k-43-ur8750/p,660000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/395347-170-170?v=638327110603800000&width=170&height=170&aspect=true,,
smart tv,"Smart TV 70"" Hisense 4K 9170A6H",https://www.carrefour.com.ar/smart-tv-70-hisense-4k-9170a6h/p,1440000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/408602-170-170?v=638344602507900000&width=170&height=170&aspect=true,,
smart tv,"Smart tv android Philips 65"" 4k 65pud7908 77",https://www.carrefour.com.ar/smart-tv-android-philips-65-4k-65pud7908-77/p,1260000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/461367-170-170?v=638415542608670000&width=170&height=170&aspect=true,,
smart tv,"Smart TV LED 43"" BGH ANDROID B4321FH5A",https://www.carrefour.com.ar/smart-tv-led-43--bgh-android-b4321fh5a-1646835/p,469999,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/308856-170-170?v=638146609642000000&width=170&height=170&aspect=true,,
smart tv,Smart TV LG 55'' 4K nanocel 55NANO80SQA,https://www.carrefour.com.ar/smart-tv-55-lg-nanocel-4k-55nano80sqa/p,1200000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/395343-170-170?v=638327098560630000&width=170&height=170&aspect=true,,
smart tv,Smart tv LG oled 4k thinq ai 55 oled55c3psa,https://www.carrefour.com.ar/smart-tv-lg-oled-4k-thinq-ai-55-oled55c3psa/p,2349999,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/536591-170-170?v=638544244734300000&width=170&height=170&aspect=true,,
smart tv,"TV LED NOBLEX DB24X4000PI 24"" HD",https://www.carrefour.com.ar/tv-led-noblex-db24x4000pi-24--hd-1658120/p,179999,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/517179-170-170?v=638507674799130000&width=170&height=170&aspect=true,,
smart tv,Smart tv 65 Samsung 4k qled qn65ls03bagczbm frame,https://www.carrefour.com.ar/smart-tv-65-samsung-4k-qled-qn65ls03bagczbm-frame/p,3000000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/346008-170-170?v=638233844853430000&width=170&height=170&aspect=true,,
