search_term,name,url,price,provider_id,photo,details,brand
detergente,detergente cif bio active limón 500cm3,https://www.lacoopeencasa.coop/producto/detergente-cif-bio-active-limon-500cm3/289631,2299,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/5/8/d/58d488c498ce35d28e1fea4ae25a6586,No details found,
detergente,detergente cif bio active lima 500cm3,https://www.lacoopeencasa.coop/producto/detergente-cif-bio-active-lima-500cm3/289632,2299,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/5/a/5/5a5f99f09f9da087efe6af85d4d4e4be,No details found,
detergente,detergente magistral ultra desengrasante limón 500cm3,https://www.lacoopeencasa.coop/producto/detergente-magistral-ultra-desengrasante-limon-500cm3/293076,2990,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/6/2/9/62928ea2288974eb6a4d42f9a7876059,No details found,
detergente,detergente magistral ultra desengrasante limón 750cm3,https://www.lacoopeencasa.coop/producto/detergente-magistral-ultra-desengrasante-limon-750cm3/293077,4290,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/2/4/4/2449726b8e420c3709ab2dd99ce03714,No details found,
detergente,detergente magistral ultra desengrasante marina 300cm3,https://www.lacoopeencasa.coop/producto/detergente-magistral-ultra-desengrasante-marina-300cm3/293080,1190,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/f/b/0/fb0a4b4c6b145effdb3036335fd72080,No details found,
detergente,detergente héroe limón 300cm3,https://www.lacoopeencasa.coop/producto/detergente-heroe-limon-300cm3/279988,1129,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/f/f/a/ffaba4727ae8250dc5f005729da2893e,No details found,
detergente,detergente ala +concentrado pomelo botella 300cm3,https://www.lacoopeencasa.coop/producto/detergente-ala-masconcentrado-pomelo-botella-300cm3/296507,1215,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/2/a/2/2a2e3f0d325bf2487b2a9d98ce74dcb1,No details found,
detergente,detergente magistral ultra desengrasante limón 300cm3,https://www.lacoopeencasa.coop/producto/detergente-magistral-ultra-desengrasante-limon-300cm3/293074,1190,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/6/d/a/6da4d9288360b97a033ebe757b2d27f3,No details found,
detergente,detergente magistral ultra desengrasante marina 500cm3,https://www.lacoopeencasa.coop/producto/detergente-magistral-ultra-desengrasante-marina-500cm3/293081,2990,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/e/6/4/e649926f08a2801bd80ad3feecc17fec,No details found,
detergente,detergente cif bio active limón 300cm3,https://www.lacoopeencasa.coop/producto/detergente-cif-bio-active-limon-300cm3/289628,1416,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/5/f/1/5f193f42a4d3ef219bd067b1cf5e0889,No details found,
