search_term,name,url,price,provider_id,photo,details,brand
fideos,fideos san agustín tirabuzón 500grs,https://www.lacoopeencasa.coop/producto/fideos-san-agustin-tirabuzon-500grs/227295,699,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/b/5/6/b5698bd9d84184f9edf4e2c7858a0058,No details found,
fideos,fideos san agustín ñoquis 500grs,https://www.lacoopeencasa.coop/producto/fideos-san-agustin-%C3%B1oquis-500grs/227296,699,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/5/4/6/546f4273c9b713076b2c5e6783ed2851,No details found,
fideos,fideos san agustín rigatti 500grs,https://www.lacoopeencasa.coop/producto/fideos-san-agustin-rigatti-500grs/227294,699,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/3/c/0/3c0945357ebdd7f1a05ff1fb1e3bb3b6,No details found,
fideos,fideos guiseros matarazzo tirabuzon n°28 500grs,https://www.lacoopeencasa.coop/producto/fideos-guiseros-matarazzo-tirabuzon-n%C2%B028-500grs/309689,1290,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/c/5/4/c54ba798a0806d0ab0a235a6049669f8,No details found,
fideos,fideos matarazzo mostachol n°52 500grs,https://www.lacoopeencasa.coop/producto/fideos-matarazzo-mostachol-n%C2%B052-500grs/309235,1290,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/b/0/6/b06f6c636faea43fe99aa6043b783eda,No details found,
fideos,fideos lucchetti mostachol n°51 500grs,https://www.lacoopeencasa.coop/producto/fideos-lucchetti-mostachol-n%C2%B051-500grs/309236,1109,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/e/8/8/e88dc8a70202f1ac53286ba582498dae,No details found,
fideos,fideos matarazzo spaghetti n°3 500grs,https://www.lacoopeencasa.coop/producto/fideos-matarazzo-spaghetti-n%C2%B03-500grs/309690,1290,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/d/b/6/db688ecd4207c6814f15f34f2375b052,No details found,
fideos,fideos matarazzo 3 vegetales tirabuzón n°34 500grs,https://www.lacoopeencasa.coop/producto/fideos-matarazzo-3-vegetales-tirabuzon-n%C2%B034-500grs/309237,1550,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/a/5/b/a5b7b8f2b95e00034a4b853959f50762,No details found,
fideos,fideos lucchetti moños 500grs,https://www.lacoopeencasa.coop/producto/fideos-lucchetti-mo%C3%B1os-500grs/242405,1990,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/0/2/9/029e92648d88bff7c29a619047ddfbc1,No details found,
fideos,fideos lucchetti tirabuzón n°34 500grs,https://www.lacoopeencasa.coop/producto/fideos-lucchetti-tirabuzon-n%C2%B034-500grs/309325,1109,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/3/e/0/3e0a11d761c0d398402d97ca63cbc806,No details found,
fideos,fideos bahía blanca laminados al huevo anchos 500grs,https://www.lacoopeencasa.coop/producto/fideos-bahia-blanca-laminados-al-huevo-anchos-500grs/195893,2395,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/9/6/3/963f70043f1d940cc3521e604e7e1ebf,No details found,
fideos,fideos san agustín celentano 500grs,https://www.lacoopeencasa.coop/producto/fideos-san-agustin-celentano-500grs/227292,749,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/0/9/4/09439cf50a98370e5197af1f8a563583,No details found,
fideos,fideos bahía blanca laminados al huevo finos 500grs,https://www.lacoopeencasa.coop/producto/fideos-bahia-blanca-laminados-al-huevo-finos-500grs/189804,2395,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos lucchetti codito 500grs,https://www.lacoopeencasa.coop/producto/fideos-lucchetti-codito-500grs/233572,1109,coope,assets/img/cargando_400.gif,No details found,
fideos,sopa alicante de la huerta con fideos y vegetales 72grs,https://www.lacoopeencasa.coop/producto/sopa-alicante-de-la-huerta-con-fideos-y-vegetales-72grs/290299,1484,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos lucchetti preparados con salsa sabor queso 350grs,https://www.lacoopeencasa.coop/producto/fideos-lucchetti-preparados-con-salsa-sabor-queso-350grs/291344,2490,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos cooperativa laminados al huevo 500grs,https://www.lacoopeencasa.coop/producto/fideos-cooperativa-laminados-al-huevo-500grs/134781,1990,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos san agustín mostachol 500grs,https://www.lacoopeencasa.coop/producto/fideos-san-agustin-mostachol-500grs/227290,749,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos laminados don vicente tallarín 500grs,https://www.lacoopeencasa.coop/producto/fideos-laminados-don-vicente-tallarin-500grs/216439,2150,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos laminados don vicente caserito 500grs,https://www.lacoopeencasa.coop/producto/fideos-laminados-don-vicente-caserito-500grs/216430,2150,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos san agustín mostachol integral 500grs,https://www.lacoopeencasa.coop/producto/fideos-san-agustin-mostachol-integral-500grs/280439,1089,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos san agustín codito 500grs,https://www.lacoopeencasa.coop/producto/fideos-san-agustin-codito-500grs/227291,749,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos laminados cooperativa espinaca 500grs,https://www.lacoopeencasa.coop/producto/fideos-laminados-cooperativa-espinaca-500grs/279514,1990,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos san agustín municiones 500grs,https://www.lacoopeencasa.coop/producto/fideos-san-agustin-municiones-500grs/231883,749,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos laminados don vicente fettuccini 500grs,https://www.lacoopeencasa.coop/producto/fideos-laminados-don-vicente-fettuccini-500grs/216428,2150,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos lucchetti ave maría 500grs,https://www.lacoopeencasa.coop/producto/fideos-lucchetti-ave-maria-500grs/233573,1109,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos matarazzo dedalitos 500grs,https://www.lacoopeencasa.coop/producto/fideos-matarazzo-dedalitos-500grs/242053,1290,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos laminados primer precio al huevo cinta ancha 500grs,https://www.lacoopeencasa.coop/producto/fideos-laminados-primer-precio-al-huevo-cinta-ancha-500grs/282518,1799,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos lucchetti spaghetti n°5 al huevo 500grs,https://www.lacoopeencasa.coop/producto/fideos-lucchetti-spaghetti-n%C2%B05-al-huevo-500grs/311149,1449,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos integrales matarazzo spaghettini 500grs,https://www.lacoopeencasa.coop/producto/fideos-integrales-matarazzo-spaghettini-500grs/309754,1550,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos rina matarazzo spaguetti morrón 500grs,https://www.lacoopeencasa.coop/producto/fideos-rina-matarazzo-spaguetti-morron-500grs/311148,1950,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos terrabusi fusilli mix de vegetales 500grs,https://www.lacoopeencasa.coop/producto/fideos-terrabusi-fusilli-mix-de-vegetales-500grs/312913,1159,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos de arroz blue patna tirabuzones sin tacc 500grs,https://www.lacoopeencasa.coop/producto/fideos-de-arroz-blue-patna-tirabuzones-sin-tacc-500grs/279251,4299,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos la providencia codos 500grs,https://www.lacoopeencasa.coop/producto/fideos-la-providencia-codos-500grs/295365,849,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos lucchetti dedalitos 500grs,https://www.lacoopeencasa.coop/producto/fideos-lucchetti-dedalitos-500grs/458140,1109,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos matarazzo cabello de ángel 500grs,https://www.lacoopeencasa.coop/producto/fideos-matarazzo-cabello-de-angel-500grs/242051,2190,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos san agustin ave maría 500grs,https://www.lacoopeencasa.coop/producto/fideos-san-agustin-ave-maria-500grs/231881,749,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos laminados primer precio espinaca cinta ancha 500grs,https://www.lacoopeencasa.coop/producto/fideos-laminados-primer-precio-espinaca-cinta-ancha-500grs/282520,1799,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos favorita mostachol 500grs,https://www.lacoopeencasa.coop/producto/fideos-favorita-mostachol-500grs/269191,869,coope,assets/img/cargando_400.gif,No details found,
fideos,fideos largos san agustin spaghetti 500grs,https://www.lacoopeencasa.coop/producto/fideos-largos-san-agustin-spaghetti-500grs/309901,933,coope,assets/img/cargando_400.gif,No details found,
