search_term,name,url,price,provider_id,photo,details,brand
vino,vino de mesa toro tinto tetra brik 1000cm3,https://www.lacoopeencasa.coop/producto/vino-de-mesa-toro-tinto-tetra-brik-1000cm3/284969,1980,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/2/b/3/2b38c90c4f8fb4fc0ef27ed12f23eb9b,No details found,
vino,vino de mesa bistró primer precio blanco tetra brik 1000cm3,https://www.lacoopeencasa.coop/producto/vino-de-mesa-bistro-primer-precio-blanco-tetra-brik-1000cm3/231905,1290,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/3/b/8/3b84550446b2aa5ff373581166312705,No details found,
vino,vino de mesa tinto sucesión abel michel torino 1125cm3,https://www.lacoopeencasa.coop/producto/vino-de-mesa-tinto-sucesion-abel-michel-torino-1125cm3/247099,2590,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/e/5/5/e555936577c5e81aeae30c14afbbbe48,No details found,
vino,vino de mesa toro blanco afa tetra brik 1000cm3,https://www.lacoopeencasa.coop/producto/vino-de-mesa-toro-blanco-afa-tetra-brik-1000cm3/284968,1380,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/5/1/d/51d338ad4d6698c0968bf4b234b8eef4,No details found,
vino,vino de mesa sucesión abel michel torino blanco selección 70,https://www.lacoopeencasa.coop/producto/vino-de-mesa-sucesion-abel-michel-torino-blanco-seleccion-700cm3/103373,1590,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/0/8/a/08a798451039277b581700dcbfe7a309,No details found,
vino,vino tinto novecento malbec 750cm3,https://www.lacoopeencasa.coop/producto/vino-tinto-novecento-malbec-750cm3/134277,3888,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/1/c/4/1c449307d72286fe1ff65f59205cafdd,No details found,
vino,vino tinto dante robino malbec 750cm3,https://www.lacoopeencasa.coop/producto/vino-tinto-dante-robino-malbec-750cm3/134281,2190,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/7/7/6/7769fd6c2411cc7f54683be20102c73b,No details found,
vino,vino tinto canciller blend 750cm3,https://www.lacoopeencasa.coop/producto/vino-tinto-canciller-blend-750cm3/313001,1990,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/3/1/f/31fb16f847e58916fa5b36617a166df7,No details found,
vino,vino de mesa sucesión abel michel torino tinto selección 700,https://www.lacoopeencasa.coop/producto/vino-de-mesa-sucesion-abel-michel-torino-tinto-seleccion-700cm3/103446,1590,coope,assets/img/cargando_400.gif,No details found,
vino,vino de mesa bistró primer precio tinto tetra brik 1000cm3,https://www.lacoopeencasa.coop/producto/vino-de-mesa-bistro-primer-precio-tinto-tetra-brik-1000cm3/231903,1690,coope,assets/img/cargando_400.gif,No details found,
vino,vino de mesa toro blanco dulce tetra brik 1000cm3,https://www.lacoopeencasa.coop/producto/vino-de-mesa-toro-blanco-dulce-tetra-brik-1000cm3/150181,2225,coope,assets/img/cargando_400.gif,No details found,
vino,vino tinto alma mora malbec 750cm3,https://www.lacoopeencasa.coop/producto/vino-tinto-alma-mora-malbec-750cm3/126167,3790,coope,assets/img/cargando_400.gif,No details found,
vino,vino de mesa resero tinto tetra brik 1000cm3,https://www.lacoopeencasa.coop/producto/vino-de-mesa-resero-tinto-tetra-brik-1000cm3/136944,1790,coope,assets/img/cargando_400.gif,No details found,
vino,vino blanco dilema dulce 750cm3,https://www.lacoopeencasa.coop/producto/vino-blanco-dilema-dulce-750cm3/308255,3390,coope,assets/img/cargando_400.gif,No details found,
vino,vino tinto novecento raíces malbec 750cm3,https://www.lacoopeencasa.coop/producto/vino-tinto-novecento-raices-malbec-750cm3/141329,2490,coope,assets/img/cargando_400.gif,No details found,
vino,vino tinto elegido malbec 750cm3,https://www.lacoopeencasa.coop/producto/vino-tinto-elegido-malbec-750cm3/245008,3690,coope,assets/img/cargando_400.gif,No details found,
vino,vino tinto pato criollo malbec 750cm3,https://www.lacoopeencasa.coop/producto/vino-tinto-pato-criollo-malbec-750cm3/299673,2290,coope,assets/img/cargando_400.gif,No details found,
vino,vino tinto toro viejo clásico 750cm3,https://www.lacoopeencasa.coop/producto/vino-tinto-toro-viejo-clasico-750cm3/281527,1990,coope,assets/img/cargando_400.gif,No details found,
