search_term,name,url,price,provider_id,photo,details,brand
aire acondicionado,AIRE ACONDICIONADO SURREY 553GIQ0901F - INVERTER 2356F2740W SMART FRIO CALOR,https://www.garbarino.com/p/aire-acondicionado-surrey-553giq0901f-inverter-2356f2740w-smart-frio-calor/55a87a25-5c79-4481-b0c7-da7d0398849b,1022380,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/9b1021672af30e892791c229dc968e8187d8b215.jpg,AIRE ACONDICIONADO SURREY 553GIQ0901F - INVERTER 2356F2740W SMART FRIO CALOR,
aire acondicionado,AIRE ACONDICIONADO PORTATIL KANJIHOME KJH-AA5000FCBC 5000F WIFI FRIO CALOR,https://www.garbarino.com/p/aire-acondicionado-portatil-kanjihome-kjh-aa5000fcbc-5000f-wifi-frio-calor/de5f8665-5917-4382-b82f-671e7866ed35,719969,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/d3cdc902f0f22d84c741beafa2c050ed6530ebe2.jpg,AIRE ACONDICIONADO PORTATIL KANJIHOME KJH-AA5000FCBC 5000F WIFI FRIO CALOR,
aire acondicionado,AIRE ACONDICIONADO MIDEA MSAGIC-12H-01F - INVERTER 2967F3450W SPLIT FRIOCALOR,https://www.garbarino.com/p/aire-acondicionado-midea-msagic-12h-01f-inverter-2967f3450w-split-friocalor/e5259c0d-c011-42e7-97e9-8c1466d62dd0,1033790,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/a88ed778e8b9b63c76599059dd146ae4dc591e6b.jpg,AIRE ACONDICIONADO MIDEA MSAGIC-12H-01F - INVERTER 2967F3450W SPLIT FRIOCALOR,
aire acondicionado,AIRE ACONDICIONADO SURREY 553GFQ0901F - 2348F2730W FRIOCALOR,https://www.garbarino.com/p/aire-acondicionado-surrey-553gfq0901f-2348f2730w-friocalor/4e0e2908-cd0a-4436-9609-5289cb193bc9,880179,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/a60c20be24cd44deb5862f0ce4ccfb44b2a4a817.jpg,AIRE ACONDICIONADO SURREY 553GFQ0901F - 2348F2730W FRIOCALOR,
aire acondicionado,Aire Acondicionado Midea Msagfc-22h-01f - 5500f5796w Friocalor,https://www.garbarino.com/p/aire-acondicionado-midea-msagfc-22h-01f-5500f5796w-friocalor/9bfbc645-27ee-4013-8f24-3fb2add2e6b5,1679239,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/9f94d5600c31ea36fe2dfc34aeca13f5a5fd22ed.jpg,Aire Acondicionado Midea Msagfc-22h-01f - 5500f5796w Friocalor,
aire acondicionado,AIRE ACONDICIONADO MIDEA MSAGFC-09H-01F - 2348F2348W FRIO CALOR,https://www.garbarino.com/p/aire-acondicionado-midea-msagfc-09h-01f-2348f2348w-frio-calor/f2f65666-2032-41dc-8e0b-69ad400acadc,840579,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/cae34627faa83f1c06e4cbf9d1f1dfaad4f20a90.jpg,AIRE ACONDICIONADO MIDEA MSAGFC-09H-01F - 2348F2348W FRIO CALOR,
aire acondicionado,AIRE ACONDICIONADO PORTATIL KANJIHOME KJH-AA2650FCBC 2650F WIFI FRIO CALOR,https://www.garbarino.com/p/aire-acondicionado-portatil-kanjihome-kjh-aa2650fcbc-2650f-wifi-frio-calor/f8bc08c9-311c-426d-bdb3-b1f3a76cf527,571539,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/959d6f15448fe43a0fa5bc6a7d7d10a7eb32e249.jpg,AIRE ACONDICIONADO PORTATIL KANJIHOME KJH-AA2650FCBC 2650F WIFI FRIO CALOR,
aire acondicionado,AIRE ACONDICIONADO PORTATIL HISENSE AP12HR4SEJS00PI 3400W FRIO CALOR,https://www.garbarino.com/p/aire-acondicionado-portatil-hisense-ap12hr4sejs00pi-3400w-frio-calor/b93fa126-6b35-485d-8f73-e2b9740c912d,695530,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/297961a3ab4299b156ec887fe1a1c0430745a5e4.jpg,AIRE ACONDICIONADO PORTATIL HISENSE AP12HR4SEJS00PI 3400W FRIO CALOR,
aire acondicionado,AIRE ACONDICIONADO LG S4-W12JARPA ARTCOOL - INVERTER 3600W3000F FC,https://www.garbarino.com/p/aire-acondicionado-lg-s4-w12jarpa-artcool-inverter-3600w3000f-fc/178c1177-2246-4e71-a1d4-6b2c90576c68,1645439,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/b5560f0b36275c1ca230e6c031de70dd76cc03ae.jpg,AIRE ACONDICIONADO LG S4-W12JARPA ARTCOOL - INVERTER 3600W3000F FC,
aire acondicionado,AIRE ACONDICIONADO SPLIT KANJIHOME KJH-26FKT81 FC 2600W FRIO CALOR,https://www.garbarino.com/p/aire-acondicionado-split-kanjihome-kjh-26fkt81-fc-2600w-frio-calor/29194077-8bb9-41df-b357-1500c5e680f6,673000,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/e17a564ac83d0322c1e10f612b590c3cfeb3d765.jpg,AIRE ACONDICIONADO SPLIT KANJIHOME KJH-26FKT81 FC 2600W FRIO CALOR,
aire acondicionado,AIRE ACONDICIONADO SURREY 553GIQ1801F - INVERTER SMART 4400F5120W FC,https://www.garbarino.com/p/aire-acondicionado-surrey-553giq1801f-inverter-smart-4400f5120w-fc/751180ac-93d7-44e7-a1ad-88cfc1617820,1624679,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/d9b9e7594da079b813063b5b9198de9ae510ce54.jpg,AIRE ACONDICIONADO SURREY 553GIQ1801F - INVERTER SMART 4400F5120W FC,
aire acondicionado,AIRE ACONDICIONADO SPLIT KANJIHOME 51IKHT81 INVERTER 5300W FRIO CALOR,https://www.garbarino.com/p/aire-acondicionado-split-kanjihome-51ikht81-inverter-5300w-frio-calor/3becb7dd-b0cd-4635-8602-dc783a8cb0cf,1595670,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/3549b91cfcba862b532d7499e5e8fa562dd6b180.jpg,AIRE ACONDICIONADO SPLIT KANJIHOME 51IKHT81 INVERTER 5300W FRIO CALOR,
aire acondicionado,AIRE ACONDICIONADO SPLIT KANJIHOME 69IKHT81 INVERTER 6900W FRIO CALOR,https://www.garbarino.com/p/aire-acondicionado-split-kanjihome-69ikht81-inverter-6900w-frio-calor/8d8b6b8a-ecfc-4455-aa85-e261b1bcf37f,1923270,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/65e0c17f17bbd4c2e7a2dbad6e6d53cdd35acff2.jpg,AIRE ACONDICIONADO SPLIT KANJIHOME 69IKHT81 INVERTER 6900W FRIO CALOR,
aire acondicionado,Aire Acondicionado Rca Portatil Aapr12xp 3200w Display Touch,https://www.garbarino.com/p/aire-acondicionado-rca-portatil-aapr12xp-3200w-display-touch/e7ab3a0f-9fd5-43b8-8fe1-dd01305aea4d,1149999,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/ab8d40da1d6e14e9c7c7a4bd81afb1fb1151b9fa.jpg,Aire Acondicionado Rca Portatil Aapr12xp 3200w Display Touch,
aire acondicionado,Aire Acondicionado split Kanji 5300W 51IKHT81,https://www.garbarino.com/p/aire-acondicionado-split-kanji-5300w-51ikht81/f3766dc2-ac02-4188-a988-f4b116123ad2,2020709,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/9a26da527a387e0ea56b1a0dda3e07df583700f1.jpg,Aire Acondicionado split Kanji 5300W 51IKHT81,
aire acondicionado,Aire Acondicionado Portatil KANJI HOME KJH-AA2650FC,https://www.garbarino.com/p/aire-acondicionado-portatil-kanji-home-kjh-aa2650fc/e09b3395-301a-49d0-9150-0abb7b237623,508899,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/4dba41c3f651fecd1155cc176ddc5268d34fe75c.jpg,Aire Acondicionado Portatil KANJI HOME KJH-AA2650FC,
