search_term,name,url,price,provider_id,photo,details,brand
estufa,Caloventor Estufa BKF 2000W BF-FH2000 Gris Resistencia,https://www.garbarino.com/p/caloventor-estufa-bkf-2000w-bf-fh2000-gris-resistencia/b3f468fa-dd0e-437d-a306-e3d1033d2c76,41200,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/a1db6841d20eef2cfbeb872f31c99e6e34898590.jpg,Caloventor Estufa BKF 2000W BF-FH2000 Gris Resistencia,
estufa,Estufa Electrica Infrarroja Axel AX-CI1000 Blanca,https://www.garbarino.com/p/estufa-electrica-infrarroja-axel-ax-ci1000-blanca/698204ff-b67a-4481-af8c-212331cbc7d5,32960,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/eeac12072fe5ce6c1184b580ce233b31dbf3bbb1.jpg,Estufa Electrica Infrarroja Axel AX-CI1000 Blanca,
estufa,Estufa Calefactor Eléctrico Halógeno Ken Brown KB-22 Blanco,https://www.garbarino.com/p/estufa-calefactor-electrico-halogeno-ken-brown-kb-22-blanco/713601b1-f07f-4461-be1b-2e79bf360109,48409,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/bd785291b9048b8fef9603812b1f9ecc4fd0432c.jpg,Estufa Calefactor Eléctrico Halógeno Ken Brown KB-22 Blanco,
estufa,Estufa Eléctrica Vertical Eiffel E-301 Cuarzo 2 Velas 1200w Calefactor,https://www.garbarino.com/p/estufa-electrica-vertical-eiffel-e-301-cuarzo-2-velas-1200w-calefactor/141b19a4-de64-479c-937e-cacc287ac2ed,25750,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/efe977ab3037eb79c5e6c8641d948e75c06755bf.jpg,Estufa Eléctrica Vertical Eiffel E-301 Cuarzo 2 Velas 1200w Calefactor,
estufa,Estufa a Cuarzo Vertical Everest Wcs,https://www.garbarino.com/p/estufa-a-cuarzo-vertical-everest-wcs/5f39b6b0-e279-44e3-aacb-1281157adb2e,37930,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/92a95e7403a8b76aebfed87e52e3aacbfc8a82d9.jpg,Estufa a Cuarzo Vertical Everest Wcs,
estufa,Estufa Garrafera Everest 1900/3800c Gris,https://www.garbarino.com/p/estufa-garrafera-everest-1900-3800c-gris/ea4f22be-bcd0-4f57-b1c7-a40d5a4412b9,225220,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/25175a384c3be2a110050ce118ad8d44be185b56.jpg,Estufa Garrafera Everest 1900/3800c Gris,
estufa,Estufa Garrafera Everest 1900/3800c Negro,https://www.garbarino.com/p/estufa-garrafera-everest-1900-3800c-negro/d713f89b-1df3-4632-96f4-4111c4322146,225220,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/8bb14dbfde71539680dd810a5aba83712f02ab27.jpg,Estufa Garrafera Everest 1900/3800c Negro,
estufa,Estufa Halogena Eiffel E-303 800w,https://www.garbarino.com/p/estufa-halogena-eiffel-e-303-800w/df75c747-d703-49b2-8b39-7d2bfa666246,30900,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/c14bb14a722f5966e36b47dcbadab75e6e43093d.jpg,Estufa Halogena Eiffel E-303 800w,
estufa,ESTUFA HALOGENA EVEREST Y-S10,https://www.garbarino.com/p/estufa-halogena-everest-y-s10/f011e774-d741-4b3e-9580-8808b5298d09,69180,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/3000cbafd972e8ea760bfee265ccca924bf48e32.jpg,ESTUFA HALOGENA EVEREST Y-S10,
estufa,Estufa Calefactor Garrafera Daewoo Dany-113 Con Regulador,https://www.garbarino.com/p/estufa-calefactor-garrafera-daewoo-dany-113-con-regulador/16b9de67-d9ba-4263-84ff-64b84d4cf14d,129999,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/1d4d56937cce51cb5bed43169f296ca443558ba2.jpg,Estufa Calefactor Garrafera Daewoo Dany-113 Con Regulador,
estufa,Estufa de Cuarzo Eiffel E-501 Vertical 1200W,https://www.garbarino.com/p/estufa-de-cuarzo-eiffel-e-501-vertical-1200w/3ec1f429-cc84-4ecf-8af4-c6953f2c86ee,31930,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/955a7d75c06f3fb2b56690fc9418c899567a2cf5.jpg,Estufa de Cuarzo Eiffel E-501 Vertical 1200W,
