search_term,name,url,price,provider_id,photo,details,brand
pava eléctrica,Pava Electrica Peabody Vintage - Rosa 17lt,https://www.garbarino.com/p/pava-electrica-peabody-vintage-rosa-17lt/4b8ec836-4d19-42e2-a62a-6a90fa0f9e85,107640,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/a388c83a32690ea45f22d0d8256fb3739df58d74.jpg,Pava Electrica Peabody Vintage - Rosa 17lt,
pava eléctrica,"Pava Electrica Smartlife SL-EK1714BPN 1,7 Lts Corte Mate",https://www.garbarino.com/p/pava-electrica-smartlife-sl-ek1714bpn-1-7-lts-corte-mate/01604742-2105-4ffa-a2cf-9ff524bbec78,49440,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/87d282adeb93204a645611866e6109b6718edb00.jpg,"Pava Electrica Smartlife SL-EK1714BPN 1,7 Lts Corte Mate",
pava eléctrica,PAVA ELECTRICA ATMA PEATW21WP NORDICA 1800W 1.7LTS CORTE AUTOMATICO BLANCA Y SI,https://www.garbarino.com/p/pava-electrica-atma-peatw21wp-nordica-1800w-1-7lts-corte-automatico-blanca-y-si/14e91f2b-2343-4da9-90e1-d6152c93a00b,62659,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/ede156f436bfbd5a5eaff6c268de6f142bb81be4.jpg,PAVA ELECTRICA ATMA PEATW21WP NORDICA 1800W 1.7LTS CORTE AUTOMATICO BLANCA Y SI,
pava eléctrica,PAVA ELECTRICA PEABODY VINTAGE PE-KV8213-A - AMARILLA 17LT,https://www.garbarino.com/p/pava-electrica-peabody-vintage-pe-kv8213-a-amarilla-17lt/9754f361-68a1-4f2a-a12f-490cebd0e138,107640,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/0bce1e676a5f49a9d09e4a3a1f1753a4914039a3.jpg,PAVA ELECTRICA PEABODY VINTAGE PE-KV8213-A - AMARILLA 17LT,
pava eléctrica,PAVA ELECTRICA VINTAGE PEABODY PE-KV8215R - ROJA 17LT 2000W,https://www.garbarino.com/p/pava-electrica-vintage-peabody-pe-kv8215r-roja-17lt-2000w/9fa3a1d7-6bd4-410a-9b8b-d9911920ddc3,107640,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/c4ae991064db03341909450bfba1b2277ce2aea8.jpg,PAVA ELECTRICA VINTAGE PEABODY PE-KV8215R - ROJA 17LT 2000W,
pava eléctrica,"Pava Eléctrica Daewoo WK5416 1,7 Lts Mate o Te Blanca",https://www.garbarino.com/p/pava-electrica-daewoo-wk5416-1-7-lts-mate-o-te-blanca/aa70b564-097f-4d34-be9d-600910871bd3,44100,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/f283a92ce6b5ed13ca6fb6bc29544d1cca49158a.jpg,"Pava Eléctrica Daewoo WK5416 1,7 Lts Mate o Te Blanca",
pava eléctrica,Pava Electrica Moulinex By297158 1L Blanca Corte Mate,https://www.garbarino.com/p/pava-electrica-moulinex-by297158-1l-blanca-corte-mate/2e3f4d9f-3896-49cd-bc61-55018d4b3f60,78279,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/af4f938b9e14a2cbeecc3cc536d21a250bc1e14f.jpg,Pava Electrica Moulinex By297158 1L Blanca Corte Mate,
pava eléctrica,Pava Electrica Digital Daewoo WK5316 Inox 1.7lts Corte Mate,https://www.garbarino.com/p/pava-electrica-digital-daewoo-wk5316-inox-1-7lts-corte-mate/33646785-277f-4799-95aa-e2dbb416e5aa,63859,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/322499487f7c2c23aa25dcaa7086e16ac77455d0.jpg,Pava Electrica Digital Daewoo WK5316 Inox 1.7lts Corte Mate,
pava eléctrica,PAVA ELECTRICA KANJIHOME KJH-PE15002M MATE 1.8LTS 1500W CORTE AUTOMATICO ACERO,https://www.garbarino.com/p/pava-electrica-kanjihome-kjh-pe15002m-mate-1-8lts-1500w-corte-automatico-acero/90f1bd99-bbba-4a99-b1bd-3187bbc33315,29570,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/4bf05e268dae3d9c3ff9b110e1acde16cbf94f57.jpg,PAVA ELECTRICA KANJIHOME KJH-PE15002M MATE 1.8LTS 1500W CORTE AUTOMATICO ACERO,
pava eléctrica,PAVA ELECTRICA LILIANA WHITENBLACK APWB18 - BLANCO 17 LTS 2000W CORTE 85°,https://www.garbarino.com/p/pava-electrica-liliana-whitenblack-apwb18-blanco-17-lts-2000w-corte-85/4bf20978-7f9b-4dfc-b055-f758147f55ea,46209,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/40668958a62e96617023a39943169e14a361dad3.jpg,PAVA ELECTRICA LILIANA WHITENBLACK APWB18 - BLANCO 17 LTS 2000W CORTE 85°,
