search_term,name,url,price,provider_id,photo,details,brand
smart tv lg,TV LED 4K 50 LG 50UR8750PSA - SMART UHD BT WIFI HDMI USB 60 HZ,https://www.garbarino.com/p/tv-led-4k-50-lg-50ur8750psa-smart-uhd-bt-wifi-hdmi-usb-60-hz/45d47fbd-70b6-43e3-ba2b-49d838a5cbcb,944999,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/83129b0248053a0e411abbd070508d66757bf2a2.jpg,TV LED 4K 50 LG 50UR8750PSA - SMART UHD BT WIFI HDMI USB 60 HZ,
smart tv lg,TV LED 4K 60 LG 60UQ8050PSB - SMART UHD BT WIFI HDMI USB 60 HZ,https://www.garbarino.com/p/tv-led-4k-60-lg-60uq8050psb-smart-uhd-bt-wifi-hdmi-usb-60-hz/621f7577-6e75-46c6-b5fb-225d12ec77cf,1296000,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/900e0bd53f6aebacd5cddde949437accfd8d9884.jpg,TV LED 4K 60 LG 60UQ8050PSB - SMART UHD BT WIFI HDMI USB 60 HZ,
smart tv lg,Smart tv LG 43UR8750PSA UHD 43”,https://www.garbarino.com/p/smart-tv-lg-43ur8750psa-uhd-43/012355e3-c03b-4ce0-b25a-ea8749f69d05,679100,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/e8ef44ccf6e48be01f0ab36c6e8421cc82c9a917.jpg,Smart tv LG 43UR8750PSA UHD 43”,
smart tv lg,TV LED 4K 43 LG 43UR8750PSA - SMART THINQ UHD BT WIFI HDMI USB,https://www.garbarino.com/p/tv-led-4k-43-lg-43ur8750psa-smart-thinq-uhd-bt-wifi-hdmi-usb/562efcec-48bc-47d5-b089-36db75d5991d,842399,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/491e7c06ee681bbb569d66f47c59f8ab1708d88e.jpg,TV LED 4K 43 LG 43UR8750PSA - SMART THINQ UHD BT WIFI HDMI USB,
smart tv lg,"Smart TV 4K LG NanoCell 55"" Ultra HD AI ThinQ WIFI",https://www.garbarino.com/p/smart-tv-4k-lg-nano-cell-55-ultra-hd-ai-thin-q-wifi/c804210e-3b2c-48aa-b464-51fd4b233f2d,1133000,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/851472a97120df2d47303e448d5185437903ea30.jpg,"Smart TV 4K LG NanoCell 55"" Ultra HD AI ThinQ WIFI",
smart tv lg,"Smart TV LG ThinkQ AI 43"" 43UQ8050PSB UHD WebOS 4K",https://www.garbarino.com/p/smart-tv-lg-think-q-ai-43-43uq8050psb-uhd-web-os-4k/e0418778-c2c3-4f47-852f-cfff5c207b95,724499,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/b696db9d9407c046f386afd29ad29e516ab5a56b.jpg,"Smart TV LG ThinkQ AI 43"" 43UQ8050PSB UHD WebOS 4K",
smart tv lg,"Pantalla UHD AI ThinQ LG 50UR8750PSA 50"" 4K Smart TV",https://www.garbarino.com/p/pantalla-uhd-ai-thin-q-lg-50ur8750psa-50-4k-smart-tv/541e7d2e-0a09-4a41-9a02-c5bd25a85991,700399,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/486a7d4ef3bfafa69ac205db3d575da8e692ca61.jpg,"Pantalla UHD AI ThinQ LG 50UR8750PSA 50"" 4K Smart TV",
smart tv lg,"SMART TV 55"" TCL L55C645 QLED 4K UHD HDR DLG 120HZ AMD FREESYNC AIPQ 3.0 GOOGLE",https://www.garbarino.com/p/smart-tv-55-tcl-l55c645-qled-4k-uhd-hdr-dlg-120hz-amd-freesync-aipq-3-0-google/e72199c1-4e11-462a-8940-872d10ee4658,857620,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/a0a0f998489645a379514122ab8caa1135655eeb.jpg,"SMART TV 55"" TCL L55C645 QLED 4K UHD HDR DLG 120HZ AMD FREESYNC AIPQ 3.0 GOOGLE",
smart tv lg,"SMART TV 65"" TCL L65C645 QLED 4K UHD HDR DLG 120HZ AMD FREESYNC AIPQ 3.0 GOOGLE",https://www.garbarino.com/p/smart-tv-65-tcl-l65c645-qled-4k-uhd-hdr-dlg-120hz-amd-freesync-aipq-3-0-google/9bf71428-1617-4180-bc46-98a57e0ee35f,1143789,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/59dc26ee9226c7b8d2dd42868a5c4d7719383fce.jpg,"SMART TV 65"" TCL L65C645 QLED 4K UHD HDR DLG 120HZ AMD FREESYNC AIPQ 3.0 GOOGLE",
smart tv lg,Smart Tv Samsung T4300 32 Pulgadas Hd UN32T4300AGCZB,https://www.garbarino.com/p/smart-tv-samsung-t4300-32-pulgadas-hd-un32t4300agczb/1e5c1fd1-1c86-4422-9b88-e1ae10a6f21a,381100,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/69061034060de6a32a3d973aa31482bca356b8c2.jpg,Smart Tv Samsung T4300 32 Pulgadas Hd UN32T4300AGCZB,
