search_term,name,url,price,provider_id,photo,details,brand
smart tv,TV LED 4K 50 LG 50UR8750PSA - SMART UHD BT WIFI HDMI USB 60 HZ,https://www.garbarino.com/p/tv-led-4k-50-lg-50ur8750psa-smart-uhd-bt-wifi-hdmi-usb-60-hz/45d47fbd-70b6-43e3-ba2b-49d838a5cbcb,944999,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/83129b0248053a0e411abbd070508d66757bf2a2.jpg,TV LED 4K 50 LG 50UR8750PSA - SMART UHD BT WIFI HDMI USB 60 HZ,
smart tv,"SMART TV 55"" TCL L55C645 QLED 4K UHD HDR DLG 120HZ AMD FREESYNC AIPQ 3.0 GOOGLE",https://www.garbarino.com/p/smart-tv-55-tcl-l55c645-qled-4k-uhd-hdr-dlg-120hz-amd-freesync-aipq-3-0-google/e72199c1-4e11-462a-8940-872d10ee4658,857620,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/a0a0f998489645a379514122ab8caa1135655eeb.jpg,"SMART TV 55"" TCL L55C645 QLED 4K UHD HDR DLG 120HZ AMD FREESYNC AIPQ 3.0 GOOGLE",
smart tv,"SMART TV 65"" TCL L65C645 QLED 4K UHD HDR DLG 120HZ AMD FREESYNC AIPQ 3.0 GOOGLE",https://www.garbarino.com/p/smart-tv-65-tcl-l65c645-qled-4k-uhd-hdr-dlg-120hz-amd-freesync-aipq-3-0-google/9bf71428-1617-4180-bc46-98a57e0ee35f,1143789,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/59dc26ee9226c7b8d2dd42868a5c4d7719383fce.jpg,"SMART TV 65"" TCL L65C645 QLED 4K UHD HDR DLG 120HZ AMD FREESYNC AIPQ 3.0 GOOGLE",
smart tv,Smart TV Samsung 65 Crystal UHD 4K,https://www.garbarino.com/p/smart-tv-samsung-65-crystal-uhd-4k/a05afe1c-6cb5-478b-9277-78d3d7e7ece2,1349999,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/88a9412aa8c705782ddf0f5f0ab632fe31041456.jpg,Smart TV Samsung 65 Crystal UHD 4K,
smart tv,"Smart TV enova 65"" LED 4k UHD Frameless Android TV",https://www.garbarino.com/p/smart-tv-enova-65-led-4k-uhd-frameless-android-tv/12ac87b3-1fdd-4006-bc5c-a80d23faf4a6,1172000,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/59915d2084dc8745a47fbf9a5010a9f34568e866.jpg,"Smart TV enova 65"" LED 4k UHD Frameless Android TV",
smart tv,"Smart TV enova 32"" LED HD Android TV",https://www.garbarino.com/p/smart-tv-enova-32-led-hd-android-tv/38373c4e-4882-4cc4-b0aa-b8a959ec2198,292999,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/332c4c38f101b3e51acf565920170933835b8469.jpg,"Smart TV enova 32"" LED HD Android TV",
smart tv,Smart TV Samsung Neo QLED Quantum Matrix 4K 50 Gamer QN90C,https://www.garbarino.com/p/smart-tv-samsung-neo-qled-quantum-matrix-4k-50-gamer-qn90c/2ae871f2-162c-4521-917a-7b32e0ea90ed,2249999,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/40c4583291831521bec512a9d1fb875b5f367143.jpg,Smart TV Samsung Neo QLED Quantum Matrix 4K 50 Gamer QN90C,
smart tv,Smart Tv Samsung The Frame Serie B 23 4k 55 Marco Beige,https://www.garbarino.com/p/smart-tv-samsung-the-frame-serie-b-23-4k-55-marco-beige/505061f0-8732-40c0-a94c-1fad8785dce0,1999999,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/19177c1501dd98addc47541e228581dcd1c9af38.jpg,Smart Tv Samsung The Frame Serie B 23 4k 55 Marco Beige,
smart tv,Smart Tv Samsung The Frame Serie B 23 4k 65 Marco Nogal,https://www.garbarino.com/p/smart-tv-samsung-the-frame-serie-b-23-4k-65-marco-nogal/53aeb0bd-0c13-4a8e-89e1-16bfc2b3b743,2799999,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/b3598bb32c44c347aa39454423f9cfad572fc48b.jpg,Smart Tv Samsung The Frame Serie B 23 4k 65 Marco Nogal,
smart tv,Smart TV Samsung Crystal UHD 4K 65 HDR10 AirSlim BU8000,https://www.garbarino.com/p/smart-tv-samsung-crystal-uhd-4k-65-hdr10-air-slim-bu8000/5f4325d1-6aff-48a4-8fc6-535e244dd612,1319999,garbarino,https://d2eebw31vcx88p.cloudfront.net/garbarino/uploads/486ffbcddf6b876cd92709c2cdbca3204e3316fd.jpg,Smart TV Samsung Crystal UHD 4K 65 HDR10 AirSlim BU8000,
