search_term,name,url,price,provider_id,photo,details,brand
cal,Cal Común Embolsado x 5 kg,https://giliycia.com.ar//cal-comun-embolsado-x-5-kg.html,1627,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/5/3581_01.jpg,Agregar al carritoAñadir para comparar,
cal,Tubo Agua Caliente 25 x 3.5mm x 4m Latyn Fusion,https://giliycia.com.ar//tubo-agua-caliente-25-x-3-5mm-x-4m-latyn-fusion.html,5200,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/100366_01_1.jpg,Agregar al carritoAñadir para comparar,
cal,Cal Cacique Max 30 kg 8 Baldes Loma Negra,https://giliycia.com.ar//cal-cacique-max-30-kg-8-baldes-loma-negra.html,6103,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/5/3579_01.jpg,Agregar al carritoAñadir para comparar,
cal,Tubo Agua Caliente 32 x 4.4mm x 4m Latyn Fusion,https://giliycia.com.ar//tubo-agua-caliente-32-x-4-4mm-x-4m-latyn-fusion.html,8535,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/100366_01_1_1.jpg,Agregar al carritoAñadir para comparar,
cal,"Alberdi California Gris Cerámico 1ra 51x51 cm caja por 2,08 m2",https://giliycia.com.ar//alberdi-california-gris-ceramico-1ra-51x51-cm-caja-por-2-08-m2.html,14004,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/5/3/53310_01.jpg,Agregar al carritoAñadir para comparar,
cal,Tubo Agua Caliente 40 x 5.5mm x 4m Latyn Fusion,https://giliycia.com.ar//tubo-agua-caliente-40-x-5-5mm-x-4m-latyn-fusion.html,14592,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/100366_01_1_1_1.jpg,Agregar al carritoAñadir para comparar,
cal,Flexible Extensible Aprobado p/calefactor 20/30cm,https://giliycia.com.ar//flexible-extensible-aprobado-p-calefactor-20-30cm.html,17978,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/2/32918_01_2.jpg,Agregar al carritoAñadir para comparar,
cal,Flexible para Radiador de Calefactor,https://giliycia.com.ar//flexible-para-radiador-de-calefactor.html,18761,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/2/32705_01_1.jpg,Agregar al carritoAñadir para comparar,
cal,"Cañuelas Calacatta Cerámico 1ra 32x47 cm caja por 2,30 m2",https://giliycia.com.ar//ca-uelas-calacatta-ceramico-1ra-32x47-cm-caja-por-2-30-m2.html,19635,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/5/0/50482_01.jpg,Agregar al carritoAñadir para comparar,
cal,Flexible Extensible Aprobado p/calefactor 30/50cm,https://giliycia.com.ar//flexible-extensible-aprobado-p-calefactor-30-50cm.html,20146,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/2/32918_01_1.jpg,Agregar al carritoAñadir para comparar,
