search_term,name,url,price,provider_id,photo,details,brand
cinta,Cinta aisladora PVC autoextinguible x10 blanca,https://giliycia.com.ar/catalog/product/view/id/17338/s/cinta-aisladora-pvc-autoextinguible-x10-blanca/category/2/,986,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/105307_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta aisladora de PVC 18x10 blanca,https://giliycia.com.ar/catalog/product/view/id/16698/s/cinta-aisladora-de-pvc-18x10-blanca/category/2/,997,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36879_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta aisladora de PVC 18x10 gris,https://giliycia.com.ar/catalog/product/view/id/16699/s/cinta-aisladora-de-pvc-18x10-gris/category/2/,997,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36881_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta aisladora de PVC autoextinguible 19x10 rojo,https://giliycia.com.ar/catalog/product/view/id/16703/s/cinta-aisladora-de-pvc-autoextinguible-19x10-rojo/category/2/,997,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36885_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta aisladora PVC autoextinguible x10 azul,https://giliycia.com.ar/catalog/product/view/id/16724/s/cinta-aisladora-pvc-autoextinguible-x10-azul/category/2/,997,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36897_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta aisladora de PVC autoextinguible 19x10 verde,https://giliycia.com.ar/catalog/product/view/id/17331/s/cinta-aisladora-de-pvc-autoextinguible-19x10-verde/category/2/,997,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36886_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta PTFE-Rollo 19 mm x 20 m,https://giliycia.com.ar/catalog/product/view/id/12352/s/cinta-ptfe-rollo-19-mm-x-20-m/category/2/,1417,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/0/4/04429.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta aisladora de PVC 18x20 blanca,https://giliycia.com.ar/catalog/product/view/id/16700/s/cinta-aisladora-de-pvc-18x20-blanca/category/2/,1723,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36882_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta aisladora de PVC 18x20 negro,https://giliycia.com.ar/catalog/product/view/id/16701/s/cinta-aisladora-de-pvc-18x20-negro/category/2/,1723,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36883_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta aisladora de PVC 19x20 gris,https://giliycia.com.ar/catalog/product/view/id/16702/s/cinta-aisladora-de-pvc-19x20-gris/category/2/,1723,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36884_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta aisladora PVC autoextinguible x20 rojo,https://giliycia.com.ar/catalog/product/view/id/16725/s/cinta-aisladora-pvc-autoextinguible-x20-rojo/category/2/,1723,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36898_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta aisladora PVC autoextinguible x20 verde,https://giliycia.com.ar/catalog/product/view/id/16726/s/cinta-aisladora-pvc-autoextinguible-x20-verde/category/2/,1723,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36899_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta aisladora PVC autoextinguible x20 amarillo,https://giliycia.com.ar/catalog/product/view/id/16727/s/cinta-aisladora-pvc-autoextinguible-x20-amarillo/category/2/,1723,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36900_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta aisladora PVC autoextinguible x20 azul,https://giliycia.com.ar/catalog/product/view/id/16728/s/cinta-aisladora-pvc-autoextinguible-x20-azul/category/2/,1723,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36901_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta doble faz 24mm x 2m,https://giliycia.com.ar/catalog/product/view/id/16709/s/cinta-doble-faz-24mm-x-2m/category/2/,2231,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36893_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta Antideslizante Negra De 50Mm x metro lineal,https://giliycia.com.ar/catalog/product/view/id/17497/s/cinta-antideslizante-negra-de-50mm-x-metro-lineal/category/2/,2756,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/7/37796_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta de empaque transparente 48mm x 40m,https://giliycia.com.ar/catalog/product/view/id/16704/s/cinta-de-empaque-transparente-48mm-x-40m/category/2/,2766,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36888_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta de empaque marrón 48mm x 40m,https://giliycia.com.ar/catalog/product/view/id/16705/s/cinta-de-empaque-marron-48mm-x-40m/category/2/,2766,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36889_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta papel rollo blanca 18x50,https://giliycia.com.ar//cinta-papel-rollo-blanca-18x50.html,2813,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/1/11749_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta Demarcatoria Adheshiva Amarilla/Negra 20m,https://giliycia.com.ar/catalog/product/view/id/17492/s/cinta-demarcatoria-adheshiva-amarilla-negra-20m/category/2/,2924,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36928_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta H3-Band 4cm x 10 m,https://giliycia.com.ar//cinta-h3-band-4cm-x-10-m.html,3313,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/0/4/04410_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta papel rollo blanca 24x50,https://giliycia.com.ar//cinta-papel-rollo-blanca-24x50.html,3656,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/1/11751_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta Epr autosoldable 19x0.76x2m,https://giliycia.com.ar/catalog/product/view/id/16710/s/cinta-epr-autosoldable-19x0-76x2m/category/2/,3769,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36894_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta papel rollo azul 24x50,https://giliycia.com.ar//cinta-papel-rollo-azul-24x50.html,4488,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/1/11750_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta papel rollo blanca 36x50,https://giliycia.com.ar//cinta-papel-rollo-blanca-36x50.html,5254,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/1/11752_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta H3-Band XT - 4cm x 7 m,https://giliycia.com.ar/catalog/product/view/id/12089/s/cinta-h3-band-xt-4cm-x-7-m/category/2/,5548,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/0/4/04409.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta doble faz 18mm x 2m,https://giliycia.com.ar/catalog/product/view/id/16708/s/cinta-doble-faz-18mm-x-2m/category/2/,5858,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36892_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta doble faz 12mm x 5m,https://giliycia.com.ar/catalog/product/view/id/16707/s/cinta-doble-faz-12mm-x-5m/category/2/,5980,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36891_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta de tela Duc Tac azul,https://giliycia.com.ar/catalog/product/view/id/16693/s/cinta-de-tela-duc-tac-azul/category/2/,6023,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36875_01_1.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta de tela Duc Tac rojo,https://giliycia.com.ar/catalog/product/view/id/16694/s/cinta-de-tela-duc-tac-rojo/category/2/,6023,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36876_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta de tela Duc Tac amarillo,https://giliycia.com.ar/catalog/product/view/id/16695/s/cinta-de-tela-duc-tac-amarillo/category/2/,6023,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36877_01.jpg,Agregar al carritoAñadir para comparar,
cinta,Cinta de tela Duc Tac negro,https://giliycia.com.ar/catalog/product/view/id/16696/s/cinta-de-tela-duc-tac-negro/category/2/,6023,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/3/6/36878_01.jpg,Agregar al carritoAñadir para comparar,
