search_term,name,url,price,provider_id,photo,details,brand
destornillador,Destornillador phillips ph0 x75mm punta magnetica s2 hs68ph0075,https://giliycia.com.ar/catalog/product/view/id/16551/s/destornillador-phillips-ph0-x75mm-punta-magnetica-s2-hs68ph0075/category/2/,1381,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102539_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Destornillador phillips ph1 x100mm punta magnetica s2 hs68ph1100,https://giliycia.com.ar/catalog/product/view/id/16549/s/destornillador-phillips-ph1-x100mm-punta-magnetica-s2-hs68ph1100/category/2/,1660,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102537_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Destornillador phillips ph1 x75mm punta magnetica s2 hs68ph1075,https://giliycia.com.ar/catalog/product/view/id/16538/s/destornillador-phillips-ph1-x75mm-punta-magnetica-s2-hs68ph1075/category/2/,1862,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102526_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Destornillador phillips ph2 x38mm punta magnética s2 hs68ph2038,https://giliycia.com.ar/catalog/product/view/id/16548/s/destornillador-phillips-ph2-x38mm-punta-magnetica-s2-hs68ph2038/category/2/,2044,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102536_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Destornillador torx t10 x100mm hs28t10100,https://giliycia.com.ar/catalog/product/view/id/16462/s/destornillador-torx-t10-x100mm-hs28t10100/category/2/,2049,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102464_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,"Destornillador plano sl6,5 x150mm hs286150",https://giliycia.com.ar/catalog/product/view/id/16461/s/destornillador-plano-sl6-5-x150mm-hs286150/category/2/,2708,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102463_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Destornillador torx t20 x150mm hs28t20150,https://giliycia.com.ar/catalog/product/view/id/16482/s/destornillador-torx-t20-x150mm-hs28t20150/category/2/,2708,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102480_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Destornillador Buscapolos BP1 - El Abuelo,https://giliycia.com.ar/catalog/product/view/id/16415/s/destornillador-buscapolos-bp1-el-abuelo/category/2/,2917,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/0/3/03436_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Set destornilladores 2 en 1 (ph2 /sl6.5) akisd0201,https://giliycia.com.ar/catalog/product/view/id/16463/s/set-destornilladores-2-en-1-ph2-sl6-5-akisd0201/category/2/,3452,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102465_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,"Destornillador plano sl6,5 x150mm de golpe hgts286150",https://giliycia.com.ar/catalog/product/view/id/16484/s/destornillador-plano-sl6-5-x150mm-de-golpe-hgts286150/category/2/,3920,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102482_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,"Destornillador plano sl6,5 x100mm de golpe hgts286100",https://giliycia.com.ar/catalog/product/view/id/16483/s/destornillador-plano-sl6-5-x100mm-de-golpe-hgts286100/category/2/,3920,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102481_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Destornillador Phillips ph3 x200mm punta magnetica s2 hs68ph3200,https://giliycia.com.ar/catalog/product/view/id/16537/s/destornillador-phillips-ph3-x200mm-punta-magnetica-s2-hs68ph3200/category/2/,4419,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102525_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Set destornilladores 6 en 1 akisd0608,https://giliycia.com.ar/catalog/product/view/id/16487/s/set-destornilladores-6-en-1-akisd0608/category/2/,5644,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102485_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Destornillador juego eje flexible 12pz aksdfl1208,https://giliycia.com.ar/catalog/product/view/id/16472/s/destornillador-juego-eje-flexible-12pz-aksdfl1208/category/2/,7506,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102475_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Destornillador juego 13 en 1 akisd1208,https://giliycia.com.ar/catalog/product/view/id/16486/s/destornillador-juego-13-en-1-akisd1208/category/2/,7680,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102484_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Set destornilladores de precisión 7 piezas hksd0718,https://giliycia.com.ar/catalog/product/view/id/16488/s/set-destornilladores-de-precision-7-piezas-hksd0718/category/2/,8727,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102486_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Set destornilladores 6 piezas hksd0628,https://giliycia.com.ar/catalog/product/view/id/16467/s/set-destornilladores-6-piezas-hksd0628/category/2/,9266,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102469_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Set destornilladores intercambiables 9 piezas akisd0901,https://giliycia.com.ar/catalog/product/view/id/16489/s/set-destornilladores-intercambiables-9-piezas-akisd0901/category/2/,11004,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102487_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Set de 6 Destornilladores Profesionales Biassoni,https://giliycia.com.ar/catalog/product/view/id/17598/s/set-de-6-destornilladores-profesionales-biassoni/category/2/,11571,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/107633_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Set destornilladores 8 piezas hksd0828,https://giliycia.com.ar/catalog/product/view/id/16546/s/set-destornilladores-8-piezas-hksd0828/category/2/,12875,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102534_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Set destornilladores y de precision 18 piezas hksd1828,https://giliycia.com.ar/catalog/product/view/id/16490/s/set-destornilladores-y-de-precision-18-piezas-hksd1828/category/2/,21829,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102488_01.jpg,Agregar al carritoAñadir para comparar,
destornillador,Set Colgante De 6 Destornilladores Premium Biassoni,https://giliycia.com.ar/catalog/product/view/id/15713/s/set-colgante-de-6-destornilladores-premium-biassoni/category/2/,24855,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/101117_01.jpg,Agregar al carritoAñadir para comparar,
