search_term,name,url,price,provider_id,photo,details,brand
pintura,Pintura Asfáltica de 1 Litro,https://giliycia.com.ar/catalog/product/view/id/4505/s/pintura-asfalto-liquido-de-1-l/category/2/,7051,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/0/8/08622_01_1.jpg,Agregar al carritoAñadir para comparar,
pintura,Pintura Pizarron Verde X 1 Lt-Tersuave,https://giliycia.com.ar//pintura-pizarron-verde-x-1-lt-tersuave.html,7360,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/2/12587_01.jpg,Agregar al carritoAñadir para comparar,
pintura,Raspador de pintura 12` /310mm de aluminio hoja trapezoidal 100mm hgs3201,https://giliycia.com.ar/catalog/product/view/id/16589/s/raspador-de-pintura-12-310mm-de-aluminio-hoja-trapezoidal-100mm-hgs3201/category/2/,7399,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102576_01.jpg,Agregar al carritoAñadir para comparar,
pintura,"Rust-Oleum Specialty Pintura Epoxi Retoque Blanco 0,180 L",https://giliycia.com.ar//pintura-epoxi-retoque-blanco-0-180l.html,10617,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/5/3/53505_01.jpg,Agregar al carritoAñadir para comparar,
pintura,"Rust-Oleum Specialty Pintura Epoxi Blanco 0,946 L",https://giliycia.com.ar/catalog/product/view/id/8949/s/pintura-epoxi-blanco-rust-oleum-0-946l/category/2/,20521,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/5/3/53504_01.jpg,Agregar al carritoAñadir para comparar,
pintura,Pintura Asfáltica de 4 Litros,https://giliycia.com.ar/catalog/product/view/id/4506/s/pintura-asfalto-liquido-de-4-l/category/2/,21308,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/0/8/08623_01.jpg,Agregar al carritoAñadir para comparar,
pintura,Pintura Asfáltica Aluminizada de 1 Litro,https://giliycia.com.ar/catalog/product/view/id/16966/s/pintura-asfaltica-aluminizada-de-1-litro/category/2/,27126,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/0/102638_01.jpg,Agregar al carritoAñadir para comparar,
pintura,Pintura Azul Mediterraneo Para Piscina X 1L,https://giliycia.com.ar//pintura-azul-mediterraneo-para-piscina-x-1l.html,75434,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/2/12405_01.jpg,Agregar al carritoAñadir para comparar,
pintura,Pintura Asfáltica de 18 Litros,https://giliycia.com.ar/catalog/product/view/id/4507/s/pintura-asfalto-liquido-de-18-l/category/2/,76442,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/0/8/08624_01.jpg,Agregar al carritoAñadir para comparar,
pintura,Pintura Asfáltica Aluminizada de 4 Litros,https://giliycia.com.ar/catalog/product/view/id/15391/s/pintura-asfaltica-aluminizada-de-4-litros/category/2/,93587,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/0/8/08619_01.jpg,Agregar al carritoAñadir para comparar,
pintura,Pintura Blanco marfil para piscina x 4L,https://giliycia.com.ar/catalog/product/view/id/11401/s/pintura-blanco-marfil-para-piscina-x-4l/category/2/,154025,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/6/0/60123_01.jpg,Agregar al carritoAñadir para comparar,
pintura,Pintura Azul Mediterraneo Para Piscina X 4L,https://giliycia.com.ar//pintura-azul-mediterraneo-para-piscina-x-4l.html,228588,gili,https://giliycia.com.ar/media/catalog/product/cache/96864eacb6020aba246a1749d7d9e101/1/2/12406_01.jpg,Agregar al carritoAñadir para comparar,
